topo,density,level,length,name,a,b,c,d,e,f,g,h,i,k,l,m,heuristic1,heuristic2,heuristic3
nsf,uniform,easy,1,./data_1_9/nsf_uniform_easy_s1.json,0.416667726,540,145975.2917,0.455082824,420,181302.2575,0.417141318,521,148667.4884,0.418932536,523,149336.4217,8.441342097,0.113661791,0.540614492
nsf,uniform,easy,2,./data_1_9/nsf_uniform_easy_s2.json,0.34586726,177,149898.5496,0.43272581,414,163086.6798,0.356285453,269,143405.7728,0.374245963,390,136988.7022,20.07242184,3.012194042,7.582901569
nsf,uniform,easy,3,./data_1_9/nsf_uniform_easy_s3.json,0.446818542,499,178366.2942,0.475971048,464,199191.5537,0.448998202,480,182151.4674,0.445922078,424,188072.3386,6.124848585,0.487817715,-0.20103602
nsf,uniform,hard,1,./data_1_9/nsf_uniform_hard_s1.json,0.474658484,1450,321703.2586,0.483727933,1518,298584.564,0.483405673,1520,296198.5627,0.485686464,1555,277384.4913,1.874907025,1.84283844,2.27059653
nsf,uniform,hard,2,./data_1_9/nsf_uniform_hard_s2.json,0.437364299,1313,276334.7665,0.489378802,1550,254736.1523,0.485578516,1537,253406.9896,0.506444843,1648,234015.3244,10.62867921,11.02381175,13.64028975
nsf,uniform,hard,3,./data_1_9/nsf_uniform_hard_s3.json,0.427165935,1309,281404.6454,0.494340405,1578,281191.9214,0.49601534,1592,276051.7832,0.514042514,1683,262750.349,13.58870716,16.11771898,16.90066028
nsf,uniform,normal,1,./data_1_9/nsf_uniform_normal_s1.json,0.462251104,577,322705.8317,0.47691988,614,328109.8657,0.462202405,635,307647.045,0.463694279,711,289503.4065,3.075731714,-0.010535183,0.311234161
nsf,uniform,normal,2,./data_1_9/nsf_uniform_normal_s2.json,0.441731054,469,298430.656,0.46835804,594,294193.9211,0.44586921,585,275582.2571,0.452391977,660,264347.3128,5.685177519,0.936804411,2.356567654
nsf,uniform,normal,3,./data_1_9/nsf_uniform_normal_s3.json,0.4189819,211,346983.2947,0.466902489,527,315627.4285,0.418686848,447,289259.3747,0.428253195,478,290808.9238,10.26351115,-0.07042118,2.16490971
nsf,urban,easy,1,./data_1_9/nsf_urban_easy_s1.json,0.403046258,263,198714.5373,0.434561087,577,171493.5639,0.41228991,696,141055.0952,0.411066194,675,143395.4801,7.252105617,2.293446922,1.951008406
nsf,urban,easy,2,./data_1_9/nsf_urban_easy_s2.json,0.460637081,375,186407.4756,0.477037768,456,184773.6314,0.461187578,389,184973.3833,0.463756207,411,183578.7545,3.438026945,0.119507748,0.672578815
nsf,urban,easy,3,./data_1_9/nsf_urban_easy_s3.json,0.397249725,172,192782.4703,0.460225826,451,189268.0751,0.402400974,217,189492.7494,0.404311947,234,188230.8999,13.68373903,1.296728148,1.746726025
nsf,urban,hard,1,./data_1_9/nsf_urban_hard_s1.json,0.488106552,1467,288067.2301,0.492198793,1533,255209.7399,0.492060571,1534,254198.4611,0.492051291,1593,215421.3431,0.831420365,0.81007292,0.801692643
nsf,urban,hard,2,./data_1_9/nsf_urban_hard_s2.json,0.433443492,1317,300420.8492,0.486977097,1554,282684.02,0.488468147,1558,284108.8177,0.506674909,1659,263030.0617,10.99304368,12.69477014,14.45333402
nsf,urban,hard,3,./data_1_9/nsf_urban_hard_s3.json,0.42879776,1430,278039.9784,0.492155738,1718,265123.3285,0.49316599,1723,264630.2962,0.513097371,1824,253245.757,12.8735628,15.01132609,16.42955426
nsf,urban,normal,1,./data_1_9/nsf_urban_normal_s1.json,0.466889679,751,280411.5673,0.480029295,634,322706.6132,0.467497758,765,277533.5922,0.468960177,743,284477.0124,2.737252942,0.130240403,0.441508278
